productname,2014,2015,2016,2017,Total in Months
Fiskars Spring-Action Scissors,0,2,2,2,6
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36 x 48""""",0,2,0,2,4
Micro Innovations Wireless Classic Keyboard with Mouse,0,2,0,2,4
Sanford Pocket Accent Highlighters,0,0,12,2,14
Avery 493,0,0,11,2,13
Ampad #10 Peel & Seel Holiday Envelopes,0,0,10,2,12
Boston 16765 Mini Stand Up Battery Pencil Sharpener,0,0,8,2,10
#10 Self-Seal White Envelopes,0,0,8,2,10
Avery 502,0,0,5,2,7
"Ink Jet Note and Greeting Cards, 8-1/2 x 5-1/2"" Card Size""",0,0,4,2,6
Okidata C610n Printer,0,0,3,2,5
Kleencut Forged Office Shears by Acme United Corporation,0,0,3,2,5
Xerox 1958,0,0,3,2,5
Avery 515,0,0,3,2,5
Cisco CP-7937G Unified IP Conference Station Phone,0,0,2,2,4
Newell 337,0,0,2,2,4
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",0,0,1,2,3
Xerox 1984,0,0,0,2,2
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,0,0,0,2,2
Multimedia Mailers,0,0,0,2,2
Avery 5,0,0,0,2,2
Xerox 1989,0,0,0,2,2
Xerox 1969,0,0,0,2,2
Microsoft Natural Keyboard Elite,19,9,0,1,29
DMI Eclipse Executive Suite Bookcases,12,6,8,1,27
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,11,0,6,1,18
ClearSounds CSC500 Amplified Spirit Phone Corded phone,10,5,3,1,19
Colored Push Pins,10,0,4,1,15
Dana Halogen Swing-Arm Architect Lamp,8,16,3,1,28
Pastel Pink Envelopes,8,0,0,1,9
Panasonic KX TS3282W Corded phone,7,9,8,1,25
"Wirebound Service Call Books, 5 1/2 x 4""""",7,3,2,1,13
Wilson Jones Suede Grain Vinyl Binders,7,0,0,1,8
Avery Premier Heavy-Duty Binder with Round Locking Rings,6,13,1,1,21
Hon Racetrack Conference Tables,6,8,7,1,22
Project Tote Personal File,6,7,1,1,15
G.E. Halogen Desk Lamp Bulbs,6,2,2,1,11
Rosewill 107 Normal Keys USB Wired Standard Keyboard,6,0,2,1,9
"Personal Folder Holder, Ebony",5,3,5,1,14
"Executive Impressions 14""",5,0,11,1,17
Xerox 194,5,0,3,1,9
Tuff Stuff Recycled Round Ring Binders,4,11,7,1,23
Desktop 3-Pocket Hot File,4,0,0,1,5
Imation Swivel Flash Drive USB flash drive - 8 GB,4,0,0,1,5
Brown Kraft Recycled Envelopes,3,8,3,1,15
"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3,5,18,1,27
Xerox 199,3,3,9,1,16
Harmony Air Purifier,2,5,5,1,13
Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,2,3,7,1,13
"3D Systems Cube Printer, 2nd Generation, White",2,0,0,1,3
"Executive Impressions 13-1/2 Indoor/Outdoor Wall Clock""",2,0,0,1,3
Cardinal Poly Pocket Divider Pockets for Ring Binders,1,13,0,1,15
Sanford 52201 APSCO Electric Pencil Sharpener,1,12,0,1,14
Avery 520,1,4,9,1,15
Avery Binder Labels,1,0,6,1,8
"White Envelopes, White Envelopes with Clear Poly Window",0,18,3,1,22
Southworth 25% Cotton Antique Laid Paper & Envelopes,0,13,12,1,26
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2 x 7""""",0,11,7,1,19
LG Exalt,0,8,3,1,12
"Tensor Hersey Kiss"" Styled Floor Lamp""",0,7,0,1,8
Speck Products Candyshell Flip Case,0,7,0,1,8
Avery 497,0,7,0,1,8
"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",0,4,0,1,5
Avery Personal Creations Heavyweight Cards,0,3,7,1,11
Cisco Small Business SPA 502G VoIP phone,0,3,7,1,11
Ibico Recycled Grain-Textured Covers,0,2,5,1,8
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,0,2,1,1,4
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",0,2,0,1,3
Belkin OmniView SE Rackmount Kit,0,0,6,1,7
O'Sullivan Cherrywood Estates Traditional Bookcase,0,0,5,1,6
"Eldon 300 Class Desk Accessories, Black",0,0,5,1,6
"Executive Impressions 16-1/2 Circular Wall Clock""",0,0,3,1,4
First Data TMFD35 PIN Pad,0,0,3,1,4
Okidata B400 Printer,0,0,2,1,3
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",0,0,0,1,1
Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,0,0,0,1,1
"Maxell 74 Minute CD-R Spindle, 50/Pack",24,0,0,0,24
Motorola Droid Maxx,21,0,0,0,21
Plantronics HL10 Handset Lifter,20,4,0,0,24
Staple-on labels,18,0,3,0,21
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,17,6,0,0,23
Avery Heavy-Duty EZD View Binder with Locking Rings,16,20,5,0,41
Imation 30456 USB Flash Drive 8GB,16,0,7,0,23
Xerox 1954,16,0,2,0,18
"Global Push Button Manager's Chair, Indigo",15,22,7,0,44
Fellowes Bankers Box Recycled Super Stor/Drawer,15,0,9,0,24
"SAFCO Commercial Wire Shelving, 72h",15,0,9,0,24
EcoTones Memo Sheets,15,0,0,0,15
Belkin Standard 104 key USB Keyboard,14,7,0,0,21
Fellowes Super Stor/Drawer,14,4,0,0,18
"Fellowes Personal Hanging Folder Files, Navy",14,0,10,0,24
White GlueTop Scratch Pads,14,0,0,0,14
"Global Stack Chair with Arms, Black",13,5,13,0,31
Xerox 232,13,0,6,0,19
"Array Parchment Paper, Assorted Colors",13,0,2,0,15
Xerox 198,12,4,0,0,16
"Alliance Super-Size Bands, Assorted Sizes",12,0,15,0,27
KeyTronic KT400U2 - Keyboard - Black,12,0,3,0,15
AT&T TR1909W,12,0,3,0,15
Avery 516,12,0,3,0,15
"Hon Metal Bookcases, Gray",12,0,0,0,12
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,12,0,0,0,12
Wilson Jones Custom Binder Spines & Labels,11,8,3,0,22
Newell 32,11,5,1,0,17
"Rush Hierlooms Collection 1 Thick Stackable Bookcases""",11,4,0,0,15
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",11,4,0,0,15
"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",11,3,15,0,29
Wireless Extenders zBoost YX545 SOHO Signal Booster,11,3,10,0,24
Belkin F5C206VTEL 6 Outlet Surge,11,3,8,0,22
"Eldon Base for stackable storage shelf, platinum",11,2,12,0,25
Acme Design Stainless Steel Bent Scissors,11,0,2,0,13
Cisco IP Phone 7961G VoIP phone - Dark gray,11,0,1,0,12
"Sanford Colorific Scented Colored Pencils, 12/Pack",11,0,0,0,11
Ibico Laser Imprintable Binding System Covers,10,13,11,0,34
Cameo Buff Policy Envelopes,10,13,5,0,28
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",10,7,8,0,25
"Seth Thomas 14 Day/Date Wall Clock""",10,4,3,0,17
Xerox 1929,10,3,3,0,16
Sauder Inglewood Library Bookcases,10,3,1,0,14
Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,10,1,4,0,15
Xerox 224,10,0,7,0,17
"Memo Book, 100 Message Capacity, 5 3/8” x 11”",10,0,2,0,12
O'Sullivan Living Dimensions 5-Shelf Bookcases,9,9,3,0,21
Maxell DVD-RAM Discs,9,9,0,0,18
Avery 477,9,6,5,0,20
Hon 2111 Invitation Series Corner Table,9,6,3,0,18
Nu-Dell Float Frame 11 x 14 1/2,9,2,11,0,22
Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,9,2,7,0,18
Xerox 229,9,0,6,0,15
"Eldon 200 Class Desk Accessories, Black",9,0,3,0,12
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",9,0,3,0,12
Smead Adjustable Mobile File Trolley with Lockable Top,9,0,3,0,12
"Black Print Carbonless 8 1/2 x 8 1/4"" Rapid Memo Book""",9,0,2,0,11
"Dana Fluorescent Magnifying Lamp, White, 36""",8,6,0,0,14
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8,4,8,0,20
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",8,3,17,0,28
Polycom CX300 Desktop Phone USB VoIP phone,8,2,5,0,15
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,8,0,12,0,20
Avery White Multi-Purpose Labels,8,0,12,0,20
Global Italian Leather Office Chair,8,0,0,0,8
"Geographics Note Cards, Blank, White, 8 1/2 x 11""""",8,0,0,0,8
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8,0,0,0,8
Portable Personal File Box,7,9,3,0,19
Samsung Galaxy Note 3,7,6,0,0,13
Cisco Unified IP Phone 7945G VoIP phone,7,5,14,0,26
Apple iPhone 5C,7,5,3,0,15
Southworth Parchment Paper & Envelopes,7,4,4,0,15
Avery 51,7,3,6,0,16
SanDisk Cruzer 16 GB USB Flash Drive,7,3,0,0,10
Samsung Galaxy S4 Active,7,1,0,0,8
Micropad Numeric Keypads,7,0,8,0,15
"HP Designjet T520 Inkjet Large Format Printer - 24 Color""",7,0,5,0,12
AT&T 1070 Corded Phone,7,0,5,0,12
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",7,0,0,0,7
Acco 6 Outlet Guardian Basic Surge Suppressor,7,0,0,0,7
Xerox 1926,7,0,0,0,7
Xerox WorkCentre 6505DN Laser Multifunction Printer,7,0,0,0,7
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72H x 36""W x 18 1/2""D""",6,14,3,0,23
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,6,9,3,0,18
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",6,9,0,0,15
Fellowes Presentation Covers for Comb Binding Machines,6,8,0,0,14
Hon Non-Folding Utility Tables,6,4,19,0,29
Jawbone JAMBOX Wireless Bluetooth Speaker,6,4,4,0,14
Maxell 4.7GB DVD-RW 3/Pack,6,4,0,0,10
"Executive Impressions 10 Spectator Wall Clock""",6,3,13,0,22
Euro-Pro Shark Turbo Vacuum,6,2,16,0,24
Hon 4060 Series Tables,6,0,7,0,13
"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",6,0,3,0,9
"GE 4 Foot Flourescent Tube, 40 Watt",6,0,1,0,7
"Hon 30 x 60"" Table with Locking Drawer""",6,0,0,0,6
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,6,0,0,0,6
Cisco TelePresence System EX90 Videoconferencing Unit,6,0,0,0,6
Enermax Acrylux Wireless Keyboard,5,24,0,0,29
Stanley Contemporary Battery Pencil Sharpeners,5,19,0,0,24
Xerox 1944,5,5,6,0,16
"Master Caster Door Stop, Large Brown",5,5,0,0,10
"Fellowes Strictly Business Drawer File, Letter/Legal Size",5,4,24,0,33
Luxo Adjustable Task Clamp Lamp,5,4,9,0,18
WD My Passport Ultra 500GB Portable External Hard Drive,5,4,3,0,12
Belkin QODE FastFit Bluetooth Keyboard,5,4,0,0,9
Panasonic KX T7731-B Digital phone,5,2,1,0,8
Xerox 190,5,1,0,0,6
High Speed Automatic Electric Letter Opener,5,0,6,0,11
"Chromcraft Bull-Nose Wood 48 x 96"" Rectangular Conference Tables""",5,0,6,0,11
Newell 329,5,0,3,0,8
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",5,0,3,0,8
Xerox 1985,5,0,0,0,5
"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",5,0,0,0,5
Eldon File Chest Portable File,5,0,0,0,5
Sterling Rubber Bands by Alliance,5,0,0,0,5
Plantronics Single Ear Headset,5,0,0,0,5
Avaya IP Phone 1140E VoIP phone,5,0,0,0,5
"Electrix Incandescent Magnifying Lamp, Black",5,0,0,0,5
"Perma STOR-ALL Hanging File Box, 13 1/8W x 12 1/4""D x 10 1/2""H""",4,18,11,0,33
Canon PC940 Copier,4,11,0,0,15
Xerox 1957,4,8,5,0,17
Ativa MDM8000 8-Sheet Micro-Cut Shredder,4,7,0,0,11
Xerox 1974,4,6,0,0,10
Eldon Pizzaz Desk Accessories,4,4,11,0,19
Acco Hanging Data Binders,4,4,9,0,17
Xerox 1994,4,3,6,0,13
Memorex Froggy Flash Drive 4 GB,4,2,8,0,14
Xerox 1979,4,2,5,0,11
"Pressboard Data Binder, Crimson, 12 X 8 1/2""""",4,2,3,0,9
Space Solutions Industrial Galvanized Steel Shelving.,4,1,2,0,7
Avery Heavy-Duty EZD  Binder With Locking Rings,4,0,24,0,28
Panasonic KP-150 Electric Pencil Sharpener,4,0,12,0,16
"BlueLounge Milo Smartphone Stand, White/Metallic",4,0,8,0,12
Ativa V4110MDD Micro-Cut Shredder,4,0,7,0,11
Southworth 25% Cotton Granite Paper & Envelopes,4,0,3,0,7
Xerox 1983,4,0,1,0,5
Boston 16750 Black Compact Battery Pencil Sharpener,4,0,1,0,5
Park Ridge Embossed Executive Business Envelopes,4,0,0,0,4
"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",4,0,0,0,4
Xerox 1918,4,0,0,0,4
Hewlett-Packard Deskjet D4360 Printer,4,0,0,0,4
Bevis Round Conference Room Tables and Bases,4,0,0,0,4
Eldon 100 Class Desk Accessories,3,12,3,0,18
"Eldon L"" Workstation Diamond Chairmat""",3,11,5,0,19
Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,3,11,0,0,14
Avery Hanging File Binders,3,9,14,0,26
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",3,9,1,0,13
Polycom SoundStation2 EX Conference phone,3,9,0,0,12
Newell 315,3,6,16,0,25
Bretford CR8500 Series Meeting Room Furniture,3,6,12,0,21
Avery 488,3,6,8,0,17
"GBC Laser Imprintable Binding System Covers, Desert Sand",3,6,8,0,17
"Strathmore #10 Envelopes, Ultimate White",3,6,3,0,12
Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,3,6,0,0,9
Acme Rosewood Handle Letter Opener,3,5,4,0,12
Xerox 1889,3,5,2,0,10
Eldon Econocleat Chair Mats for Low Pile Carpets,3,5,0,0,8
Xerox 1990,3,5,0,0,8
GE 2-Jack Phone Line Splitter,3,4,4,0,11
Ultra Door Pull Handle,3,3,21,0,27
Southworth 100% Cotton The Best Paper,3,3,9,0,15
Texas Instruments TI-34 Scientific Calculator,3,3,6,0,12
Plantronics Voyager Pro Legend,3,3,2,0,8
Avery 479,3,3,1,0,7
Boston 16701 Slimline Battery Pencil Sharpener,3,3,0,0,6
Kensington 6 Outlet SmartSocket Surge Protector,3,3,0,0,6
"Alliance Big Bands Rubber Bands, 12/Pack",3,2,10,0,15
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3,2,9,0,14
Acme Serrated Blade Letter Opener,3,2,0,0,5
Classic Ivory Antique Telephone ZL1810,3,1,0,0,4
Southworth Structures Collection,3,0,7,0,10
Newell 340,3,0,6,0,9
Xerox 1976,3,0,4,0,7
Cisco SPA 501G IP Phone,3,0,0,0,3
RCA ViSYS 25425RE1 Corded phone,3,0,0,0,3
Logitech Illuminated Ultrathin Keyboard with Backlighting,3,0,0,0,3
AT&T EL51110 DECT,3,0,0,0,3
Epson Perfection V600 Photo Scanner,3,0,0,0,3
Holmes Harmony HEPA Air Purifier for 17 x 20 Room,3,0,0,0,3
Stiletto Hand Letter Openers,2,12,3,0,17
HTC One Mini,2,10,7,0,19
"Seth Thomas 8 1/2 Cubicle Clock""",2,9,0,0,11
Xerox 204,2,8,7,0,17
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",2,8,5,0,15
Newell 313,2,8,0,0,10
Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,2,8,0,0,10
Xerox 1964,2,7,24,0,33
Tops Wirebound Message Log Books,2,5,18,0,25
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",2,5,10,0,17
Newell 308,2,3,0,0,5
Okidata C331dn Printer,2,2,8,0,12
Xerox 1902,2,2,0,0,4
Star Micronics TSP800 TSP847IIU Receipt Printer,2,2,0,0,4
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",2,2,0,0,4
Advantus Motivational Note Cards,2,1,17,0,20
Xerox 1986,2,1,10,0,13
Turquoise Lead Holder with Pocket Clip,2,1,3,0,6
Holmes 99% HEPA Air Purifier,2,0,15,0,17
Strathmore Photo Frame Cards,2,0,14,0,16
Xerox 1965,2,0,8,0,10
Serrated Blade or Curved Handle Hand Letter Openers,2,0,7,0,9
Xerox 1892,2,0,3,0,5
Wilson Jones Hanging Recycled Pressboard Data Binders,2,0,2,0,4
Letter Slitter,2,0,2,0,4
Jiffy Padded Mailers with Self-Seal Closure,2,0,0,0,2
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,2,0,0,0,2
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,2,0,0,0,2
PNY Rapid USB Car Charger - Black,2,0,0,0,2
Pizazz Global Quick File,1,13,10,0,24
Avery Round Ring Poly Binders,1,11,5,0,17
"Howard Miller 11-1/2 Diameter Ridgewood Wall Clock""",1,10,13,0,24
Griffin GC36547 PowerJolt SE Lightning Charger,1,7,2,0,10
Newell 31,1,6,17,0,24
Avery Hi-Liter Fluorescent Desk Style Markers,1,5,0,0,6
Xblue XB-1670-86 X16 Small Office Telephone - Titanium,1,4,0,0,5
Xerox 223,1,3,5,0,9
Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,1,2,3,0,6
Belkin 7 Outlet SurgeMaster II,1,0,15,0,16
ShoreTel ShorePhone IP 230 VoIP phone,0,21,0,0,21
Cisco 9971 IP Video Phone Charcoal,0,16,0,0,16
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),0,14,8,0,22
O'Sullivan Living Dimensions 3-Shelf Bookcases,0,14,3,0,17
Maxell 4.7GB DVD+RW 3/Pack,0,13,4,0,17
Zebra GX420t Direct Thermal/Thermal Transfer Printer,0,13,1,0,14
Logitech Keyboard K120,0,12,0,0,12
Xerox 1920,0,11,4,0,15
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,0,11,3,0,14
"Global Manager's Adjustable Task Chair, Storm",0,10,13,0,23
Avery 507,0,10,0,0,10
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),0,9,15,0,24
Canon PC1060 Personal Laser Copier,0,9,10,0,19
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,0,9,0,0,9
Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,0,8,4,0,12
Cardinal Hold-It CD Pocket,0,8,4,0,12
Nu-Dell EZ-Mount Plastic Wall Frames,0,8,0,0,8
Cisco SPA525G2 5-Line IP Phone,0,8,0,0,8
Xerox 1973,0,8,0,0,8
Petty Cash Envelope,0,7,3,0,10
Samsung Convoy 3,0,7,2,0,9
Microsoft Arc Touch Mouse,0,7,0,0,7
RCA ViSYS 25825 Wireless digital phone,0,7,0,0,7
Cardinal Holdit Data Disk Pockets,0,6,10,0,16
Sauder Camden County Collection Library,0,6,10,0,16
AT&T 1080 Phone,0,6,7,0,13
Rediform Voice Mail Log Books,0,6,5,0,11
"Eldon Regeneration Recycled Desk Accessories, Black",0,6,3,0,9
Portfile Personal File Boxes,0,6,1,0,7
Zebra ZM400 Thermal Label Printer,0,6,0,0,6
Round Ring Binders,0,5,23,0,28
"Boston Model 1800 Electric Pencil Sharpener, Gray",0,5,10,0,15
Grandstream GXP2100 Mainstream Business Phone,0,5,5,0,10
Lexmark S315 Color Inkjet Printer,0,5,0,0,5
Loose Memo Sheets,0,5,0,0,5
Dell Slim USB Multimedia Keyboard,0,5,0,0,5
Deflect-O Glasstique Clear Desk Accessories,0,4,13,0,17
"Bush Westfield Collection Bookcases, Dark Cherry Finish",0,4,10,0,14
Xerox 193,0,4,9,0,13
Newell 316,0,4,7,0,11
Recycled Premium Regency Composition Covers,0,4,5,0,9
Star Micronics TSP100 TSP143LAN Receipt Printer,0,4,0,0,4
Pyle PRT45 Retro Home Telephone,0,4,0,0,4
Rediform S.O.S. Phone Message Books,0,4,0,0,4
"Eureka Hand Vacuum, Bagless",0,4,0,0,4
SanDisk Cruzer 8 GB USB Flash Drive,0,4,0,0,4
Laminate Occasional Tables,0,3,15,0,18
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,0,3,11,0,14
3M Polarizing Light Filter Sleeves,0,3,11,0,14
"SmartStand Mobile Device Holder, Assorted Colors",0,3,10,0,13
"Howard Miller 16 Diameter Gallery Wall Clock""",0,3,9,0,12
Avaya 4621SW VoIP phone,0,3,9,0,12
"Executive Impressions 14 Contract Wall Clock with Quartz Movement""",0,3,5,0,8
Canon PC170 Desktop Personal Copier,0,3,3,0,6
Xerox 1896,0,3,2,0,5
"Vtech AT&T CL2940 Corded Speakerphone, Black",0,3,0,0,3
Xerox 1922,0,3,0,0,3
RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,0,3,0,0,3
Xerox 1932,0,3,0,0,3
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,0,2,11,0,13
O'Sullivan 5-Shelf Heavy-Duty Bookcases,0,2,7,0,9
"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",0,2,3,0,5
SanDisk Cruzer 4 GB USB Flash Drive,0,2,3,0,5
NeatDesk Desktop Scanner & Digital Filing System,0,2,0,0,2
Ultra Commercial Grade Dual Valve Door Closer,0,2,0,0,2
GBC Wire Binding Strips,0,1,13,0,14
Wilson Jones DublLock D-Ring Binders,0,1,5,0,6
Boston 1900 Electric Pencil Sharpener,0,1,0,0,1
Xerox 20,0,1,0,0,1
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,0,0,21,0,21
"Tenex Chairmat w/ Average Lip, 45 x 53""""",0,0,19,0,19
Eldon Expressions Mahogany Wood Desk Collection,0,0,15,0,15
Advantus SlideClip Paper Clips,0,0,15,0,15
Embossed Ink Jet Note Cards,0,0,15,0,15
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",0,0,15,0,15
Memorex Mini Travel Drive 32 GB USB 2.0 Flash Drive,0,0,14,0,14
Global Adaptabilities Conference Tables,0,0,14,0,14
Fiskars Home & Office Scissors,0,0,11,0,11
Panasonic KX MB2061 Multifunction Printer,0,0,10,0,10
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,0,0,9,0,9
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,0,0,8,0,8
Texas Instrument TI-15 Fraction Calculator,0,0,8,0,8
Konica Minolta magicolor 1690MF Multifunction Printer,0,0,8,0,8
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,0,0,8,0,8
Okidata MB760 Printer,0,0,7,0,7
Fellowes Econo/Stor Drawers,0,0,7,0,7
4009 Highlighters,0,0,6,0,6
Zebra GK420t Direct Thermal/Thermal Transfer Printer,0,0,6,0,6
Xerox Blank Computer Paper,0,0,5,0,5
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,0,0,5,0,5
Stockwell Gold Paper Clips,0,0,5,0,5
LG G2,0,0,5,0,5
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",0,0,5,0,5
Panasonic KX MC6040 Color Laser Multifunction Printer,0,0,5,0,5
Xiaomi Mi3,0,0,4,0,4
Cherry 142-key Programmable Keyboard,0,0,4,0,4
Lexmark X 9575 Professional All-in-One Color Printer,0,0,4,0,4
Avery 484,0,0,4,0,4
"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",0,0,4,0,4
Nokia Lumia 1020,0,0,4,0,4
Okidata B401 Printer,0,0,3,0,3
"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",0,0,3,0,3
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",0,0,3,0,3
"Linden 12 Wall Clock With Oak Frame""",0,0,3,0,3
Cisco 8961 IP Phone Charcoal,0,0,3,0,3
NETGEAR RangeMax WNR1000 Wireless Router,0,0,3,0,3
Hammermill Color Copier Paper (28Lb. and 96 Bright),0,0,3,0,3
Eldon Jumbo ProFile Portable File Boxes Graphite/Black,0,0,3,0,3
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",0,0,3,0,3
Newell 342,0,0,3,0,3
Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,0,0,2,0,2
RCA ViSYS 25423RE1 Corded phone,0,0,2,0,2
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,0,0,2,0,2
Grip Seal Envelopes,0,0,2,0,2
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",0,0,2,0,2
Penpower WorldCard Pro Card Scanner,0,0,1,0,1
"Pressboard Covers with Storage Hooks, 9 1/2 x 11""",,,,,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2""",,,,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11""",,,,,
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2",,,,,
"Tenex 46 x 60"" Computer Anti-Static Chairmat",,,,,
"Square Credit Card Reader, 4 1/2 x 4 1/2"" x 1""",,,,,
Linden 10 Round Wall Clock,,,,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11""",,,,,
"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11""",,,,,
"GBC Twin Loop Wire Binding Elements, 9/16 Spine",,,,,
"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2""",,,,,
Wilson Jones Elliptical Ring 3 1/2 Capacity Binders,,,,,
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8 Cut",,,,,
"Avery Trapezoid Ring Binder, 3 Capacity",,,,,
"Career Cubicle Clock, 8 1/4",,,,,
Belkin 19 Vented Equipment Shelf,,,,,
"Ampad Gold Fibre Wirebound Steno Books, 6 x 9""",,,,,
"TOPS Important Message"" Pads",,,,,
GE 48 Fluorescent Tube,,,,,
"Wirebound Message Books, 2 7/8 x 5""",,,,,
"Contract Clock, 14",,,,,
"Acco Pressboard Covers with Storage Hooks, 9 1/2 x 11""",,,,,
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4X8 1/2""",,,,,
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24 Deep",,,,,
Mead 1st Gear 2 Zipper Binder,,,,,
Avery 3 1/2 Diskette Storage Pages,,,,,
"While you Were Out"" Message Book",,,,,
"Safco Wire Cube Shelving System, For Use as 4 or 5 14 Cubes",,,,,
6 Cubicle Wall Clock,,,,,
"Rediform Wirebound Phone Memo"" Message Book",,,,,
"Wirebound Message Books, Four 2 3/4 x 5"" Forms per Page",,,,,
"Rubbermaid ClusterMat Chairmats, Mat Size- 66 x 60""",,,,,
"Recycled Desk Saver Line While You Were Out"" Book",,,,,
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11",,,,,
Belkin 19 Center-Weighted Shelf,,,,,
"Xerox Color Copier Paper, 11 x 17""",,,,,
"Message Book, Wirebound, Four 5 1/2 X 4"" Forms/Pg.",,,,,
"Adams Write n' Stick Phone Message Book, 11 X 5 1/4""",,,,,
"OIC Binder Clips, Mini, 1/4 Capacity",,,,,
"RSVP Cards & Envelopes, Blank White, 8-1/2 X 11""",,,,,
"Eldon Delta Triangular Chair Mat, 52 x 58""",,,,,
"Universal Ultra Bright White Copier/Laser Paper, 8 1/2 x 11""",,,,,
